Step,AgentID,Citizen Coordinates,Citizen Position,Health
0,Citizen_17361,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17362,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17363,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17364,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17365,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17366,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17367,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17368,"(24017.95339, -936.53419)",12589,13
0,Citizen_17369,"(24017.95339, -936.53419)",12589,13
0,Citizen_17370,"(24017.95339, -936.53419)",12589,13
0,Citizen_17371,"(24017.95339, -936.53419)",12589,13
0,Citizen_17372,"(24017.95339, -936.53419)",12589,13
0,Citizen_17373,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17374,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17375,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17376,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17377,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17378,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17379,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17380,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17381,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17382,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17383,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17384,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17385,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17386,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17387,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17388,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17389,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17390,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17391,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17392,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17393,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17394,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17395,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17396,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17397,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17398,"(20534.92063, 3475.40511)",7308,13
0,Citizen_17399,"(22681.31284, 4846.3356)",8778,13
0,Citizen_17400,"(22681.31284, 4846.3356)",8778,13
0,Citizen_17401,"(19124.57951, -71.42254)",6211,13
0,Citizen_17402,"(19124.57951, -71.42254)",6211,13
0,Citizen_17403,"(19124.57951, -71.42254)",6211,13
0,Citizen_17404,"(19124.57951, -71.42254)",6211,13
0,Citizen_17405,"(19124.57951, -71.42254)",6211,13
0,Citizen_17406,"(19124.57951, -71.42254)",6211,13
0,Citizen_17407,"(19124.57951, -71.42254)",6211,13
0,Citizen_17408,"(19124.57951, -71.42254)",6211,13
0,Citizen_17409,"(19124.57951, -71.42254)",6211,13
0,Citizen_17410,"(19124.57951, -71.42254)",6211,13
0,Citizen_17411,"(19124.57951, -71.42254)",6211,13
0,Citizen_17412,"(19124.57951, -71.42254)",6211,13
0,Citizen_17413,"(19124.57951, -71.42254)",6211,13
0,Citizen_17414,"(19124.57951, -71.42254)",6211,13
0,Citizen_17415,"(19124.57951, -71.42254)",6211,13
0,Citizen_17416,"(19124.57951, -71.42254)",6211,13
0,Citizen_17417,"(19124.57951, -71.42254)",6211,13
0,Citizen_17418,"(19124.57951, -71.42254)",6211,13
0,Citizen_17419,"(19124.57951, -71.42254)",6211,13
0,Citizen_17420,"(19124.57951, -71.42254)",6211,13
0,Citizen_17421,"(19124.57951, -71.42254)",6211,13
0,Citizen_17422,"(19124.57951, -71.42254)",6211,13
0,Citizen_17423,"(19124.57951, -71.42254)",6211,13
0,Citizen_17424,"(19124.57951, -71.42254)",6211,13
0,Citizen_17425,"(19124.57951, -71.42254)",6211,13
0,Citizen_17426,"(19124.57951, -71.42254)",6211,13
0,Citizen_17427,"(19124.57951, -71.42254)",6211,13
0,Citizen_17428,"(19124.57951, -71.42254)",6211,13
0,Citizen_17429,"(19124.57951, -71.42254)",6211,13
0,Citizen_17430,"(19124.57951, -71.42254)",6211,13
0,Citizen_17431,"(19124.57951, -71.42254)",6211,13
0,Citizen_17432,"(19124.57951, -71.42254)",6211,13
0,Citizen_17433,"(19124.57951, -71.42254)",6211,13
0,Citizen_17434,"(19124.57951, -71.42254)",6211,13
0,Citizen_17435,"(19124.57951, -71.42254)",6211,13
0,Citizen_17436,"(19124.57951, -71.42254)",6211,13
0,Citizen_17437,"(19124.57951, -71.42254)",6211,13
0,Citizen_17438,"(19124.57951, -71.42254)",6211,13
0,Citizen_17439,"(19124.57951, -71.42254)",6211,13
0,Citizen_17440,"(19124.57951, -71.42254)",6211,13
0,Citizen_17441,"(19124.57951, -71.42254)",6211,13
0,Citizen_17442,"(19124.57951, -71.42254)",6211,13
0,Citizen_17443,"(19124.57951, -71.42254)",6211,13
0,Citizen_17444,"(19124.57951, -71.42254)",6211,13
0,Citizen_17445,"(19124.57951, -71.42254)",6211,13
0,Citizen_17446,"(19124.57951, -71.42254)",6211,13
0,Citizen_17447,"(19124.57951, -71.42254)",6211,13
0,Citizen_17448,"(19124.57951, -71.42254)",6211,13
0,Citizen_17449,"(19124.57951, -71.42254)",6211,13
0,Citizen_17450,"(19124.57951, -71.42254)",6211,13
0,Citizen_17451,"(19124.57951, -71.42254)",6211,13
0,Citizen_17452,"(19124.57951, -71.42254)",6211,13
0,Citizen_17453,"(19124.57951, -71.42254)",6211,13
0,Citizen_17454,"(19124.57951, -71.42254)",6211,13
0,Citizen_17455,"(19124.57951, -71.42254)",6211,13
0,Citizen_17456,"(19124.57951, -71.42254)",6211,13
0,Citizen_17457,"(19923.77229, 5675.73687)",2229,13
0,Citizen_17458,"(19923.77229, 5675.73687)",2229,13
0,Citizen_17459,"(19923.77229, 5675.73687)",2229,13
0,Citizen_17460,"(19923.77229, 5675.73687)",2229,13
0,Citizen_17461,"(19923.77229, 5675.73687)",2229,13
0,Citizen_17462,"(19923.77229, 5675.73687)",2229,13
0,Citizen_17463,"(19923.77229, 5675.73687)",2229,13
0,Citizen_17464,"(19923.77229, 5675.73687)",2229,13
0,Citizen_17465,"(19923.77229, 5675.73687)",2229,13
0,Citizen_17466,"(28863.60165, 8687.79616)",351,13
0,Citizen_17467,"(28863.60165, 8687.79616)",351,13
0,Citizen_17468,"(28863.60165, 8687.79616)",351,13
0,Citizen_17469,"(28863.60165, 8687.79616)",351,13
0,Citizen_17470,"(28863.60165, 8687.79616)",351,13
0,Citizen_17471,"(28863.60165, 8687.79616)",351,13
