node,x,y
90,23077.83942,8081.54667
91,23064.12851,8082.95953
92,23035.36932,8081.23335
93,23030.78684,8080.50721
94,22939.92235,8066.10866
95,22881.8063,8117.35431
96,22847.91682,8147.23743
97,22840.26225,8152.18138
98,22814.79086,8168.63288
99,22806.7135,8172.11496
100,22745.30467,8198.58781
101,22715.61029,8209.42567
102,22706.00137,8212.93274
103,22518.02519,8289.69474
104,22275.17716,8388.86424
105,22240.88987,8402.86581
106,22236.98273,8403.78156
107,22224.83482,8406.62878
108,22209.24465,8408.07746
109,22187.00213,8404.63089
110,22153.18111,8392.36651
111,22131.19281,8407.60802
112,22096.88531,8424.78586
113,21972.55657,8447.47539
114,21869.61909,8466.2611
115,21632.12265,8509.60332
116,21621.20219,8511.59626
117,21618.28593,8512.12847
118,21577.94638,8521.14258
119,21466.38601,8546.07141
120,21004.40076,8649.30477
121,20875.73041,8678.05693
122,20666.00054,8724.92232
123,20437.2864,8776.02986
124,20281.22687,8810.90229
125,19933.13566,5393.87658
126,19884.9642,5393.87658
127,22609.46335,745.82446
128,22609.95583,746.8302
129,27301.76198,10095.69487
130,27364.70282,10226.33993
131,27416.10905,10333.04282
132,27505.40445,10518.39153
133,27527.40124,10564.04983
134,27579.46899,10672.12583
135,27664.10165,10847.79616
136,26889.96345,9240.9328
137,26916.90652,9296.85801
138,27092.45923,9661.24929
139,27116.62373,9711.40708
140,28520.74644,8609.496
141,28478.61713,8570.0783
142,28457.50201,8550.32223
143,28391.50201,8479.82223
144,28297.50201,8381.32223
145,28291.06878,8374.95567
146,28241.7678,8326.16557
147,28233.14715,8317.63426
148,28201.00201,8285.82223
149,28189.54034,8274.52667
150,28158.70962,8244.14277
151,28137.60192,8223.34098
152,28103.76477,8189.99422
153,28063.00201,8149.82223
154,28049.9901,8136.81032
155,28521.60165,8610.29616
156,26765.8659,8978.75118
157,26940.94189,8919.0589
158,26947.50201,8916.82223
159,27013.50201,8893.82223
160,27069.00201,8872.82223
161,27092.50201,8862.82223
162,27108.00201,8856.82223
163,27130.00201,8846.82223
164,27150.00201,8837.32223
165,27174.74831,8825.16615
166,27178.50201,8823.32223
167,27256.50201,8785.82223
168,27283.00201,8774.32223
169,27325.50201,8751.82223
170,27347.50201,8733.82223
171,27361.19079,8721.24335
172,27366.00201,8716.82223
173,27412.00201,8676.82223
174,27532.01893,8575.26945
175,27538.72664,8569.59369
176,27600.50201,8517.32223
177,27618.52399,8502.20151
178,27778.65016,8367.85323
179,27847.15352,8310.37787
180,27864.50201,8295.82223
181,28016.4765,8164.99629
182,28049.63421,8136.45276
183,23832.43699,9458.26719
184,23944.8445,9362.98228
185,25558.10165,9373.29616
186,25561.26416,9429.76956
187,25561.60165,9435.79616
188,25566.62195,9503.34203
189,25567.10165,9509.79616
190,25568.50492,9521.22282
191,25570.60165,9538.29616
192,25575.71725,9578.27365
193,25584.10165,9643.79616
194,25601.10165,9769.79616
195,25607.0531,9808.48063
196,25557.72532,9366.97382
197,25554.04278,9300.12334
198,25330.60989,9434.29916
199,25339.10165,9407.79616
200,25349.60165,9377.29616
201,25371.10165,9313.29616
202,25391.60165,9250.29616
203,25400.82102,9218.68689
204,25186.58729,9873.62985
205,25224.60165,9744.29616
206,25225.23735,9742.39587
207,25271.10165,9605.29616
208,25271.43541,9604.27796
209,25278.44117,9582.90597
210,25310.60165,9484.79616
211,25312.31318,9480.47657
212,25322.1213,9455.72274
213,25124.10165,9495.29616
214,25140.02875,9621.1203
215,25142.46122,9640.33677
216,25154.10165,9732.29616
217,25156.34244,9747.75186
218,25174.90966,9875.81813
219,25353.9007,9428.35763
220,25356.10165,9427.79616
221,25413.50287,9410.48035
222,25475.52221,9391.77143
223,25140.60165,9486.29616
224,25287.60165,9442.79616
225,25306.94947,9440.31567
226,25307.10165,9440.29616
227,24098.44277,9348.56705
228,24104.81965,9431.02793
229,24110.46553,9504.03599
230,24110.60165,9505.79616
231,24128.10165,9684.29616
232,24192.91758,9677.71417
233,24414.99506,9655.16241
234,24418.60165,9654.79616
235,24661.10165,9630.29616
236,24813.10165,9585.29616
237,24895.52397,9561.20348
238,24972.40037,9538.73192
239,24975.60165,9537.79616
240,25047.29612,9517.27754
241,23419.35412,10101.84072
242,23374.30044,10172.51867
243,23334.60165,10234.79616
244,23772.60165,9545.79616
245,23739.05752,9598.80787
246,23716.60165,9634.29616
247,23693.03115,9670.83834
